"country_code","country_name","admin1_code","admin1_name","admin1_area","admin1_lat","admin1_lon"
"TZ","United Republic of Tanzania","TZA01","Dodoma",3.42531066614139,-5.92616279,35.92210878
"TZ","United Republic of Tanzania","TZA02","Arusha",2.95778680412638,-2.95874911,35.94058334
"TZ","United Republic of Tanzania","TZA03","Kilimanjaro",1.05889190866352,-3.76201699,37.6423296
"TZ","United Republic of Tanzania","TZA04","Tanga",2.27527074326481,-5.21692448,38.27603788
"TZ","United Republic of Tanzania","TZA05","Morogoro",5.75222807896772,-7.9207176,36.98832656
"TZ","United Republic of Tanzania","TZA06","Pwani",2.61381082619873,-7.25281715,38.64915864
"TZ","United Republic of Tanzania","TZA07","Dar es Salaam",0.133450576000073,-6.88477386,39.26161145
"TZ","United Republic of Tanzania","TZA08","Lindi",5.33917087070101,-9.4813871,38.40203769
"TZ","United Republic of Tanzania","TZA09","Mtwara",1.47351767523787,-10.77596579,39.11298561
"TZ","United Republic of Tanzania","TZA10","Ruvuma",5.34657614965675,-10.7342504,36.20205824
"TZ","United Republic of Tanzania","TZA11","Iringa",2.99110172061809,-7.8012747,35.47521021
"TZ","United Republic of Tanzania","TZA12","Mbeya",3.11163815413989,-8.15856788,33.75686332
"TZ","United Republic of Tanzania","TZA13","Singida",3.96193666329432,-5.74658285,34.4955233
"TZ","United Republic of Tanzania","TZA14","Tabora",6.15947367801488,-5.26382844,32.81941877
"TZ","United Republic of Tanzania","TZA15","Rukwa",2.1196632443232,-7.94791036,31.30241929
"TZ","United Republic of Tanzania","TZA16","Kigoma",3.60328239147719,-4.78261079,30.40968712
"TZ","United Republic of Tanzania","TZA17","Shinyanga",1.33706397700076,-3.75194512,32.93608405
"TZ","United Republic of Tanzania","TZA18","Kagera",2.15906577423109,-2.02783725,31.18361951
"TZ","United Republic of Tanzania","TZA19","Mwanza",0.942009665160656,-2.76729401,33.00514408
"TZ","United Republic of Tanzania","TZA20","Mara",1.71416064591033,-1.8527759,34.3952574
"TZ","United Republic of Tanzania","TZA21","Manyara",3.77684009906442,-4.53312277,36.5517359
"TZ","United Republic of Tanzania","TZA22","Njombe",1.92960597376314,-9.49810687,34.67722344
"TZ","United Republic of Tanzania","TZA23","Katavi",4.07992102735642,-6.43236289,31.31430799
"TZ","United Republic of Tanzania","TZA24","Simiyu",1.96635922524211,-3.04108119,34.29319176
"TZ","United Republic of Tanzania","TZA25","Geita",1.60510419837689,-3.29887584,31.89865524
"TZ","United Republic of Tanzania","TZA51","Kaskazini Unguja",0.0378956716414004,-5.91889672,39.28795678
"TZ","United Republic of Tanzania","TZA52","Kusini Unguja",0.0723334693352323,-6.23876845,39.42321205
"TZ","United Republic of Tanzania","TZA53","Mjini Magharibi",0.019054357686081,-6.16759675,39.24860874
"TZ","United Republic of Tanzania","TZA54","Kaskazini Pemba",0.0429021814102443,-5.04316434,39.77098317
"TZ","United Republic of Tanzania","TZA55","Kusini Pemba",0.0387767352455655,-5.32023459,39.73619942
"TZ","United Republic of Tanzania","TZA26","Songwe",1.89908094487849,-8.33497043,32.7112231
"UG","Uganda","UG101","Kalangala",0.629717808738797,-0.57627067,32.37868449
"UG","Uganda","UG102","Kampala",0.0158669862559106,0.31848432,32.59623147
"UG","Uganda","UG103","Kiboga",0.127108277438469,0.84157904,31.95634071
"UG","Uganda","UG104","Luwero",0.180192337250444,0.83174874,32.58252529
"UG","Uganda","UG105","Masaka",0.178605605936693,-0.48856986,31.85487104
"UG","Uganda","UG106","Mpigi",0.123913559449518,0.06978216,32.15825144
"UG","Uganda","UG107","Mubende",0.37490629593142,0.52151062,31.53282346
"UG","Uganda","UG108","Mukono",0.331940511644928,0.00702304,32.78549841
"UG","Uganda","UG109","Nakasongola",0.285348823208842,1.35478495,32.42489014
"UG","Uganda","UG110","Rakai",0.252003391712621,-0.79789232,31.4839338
"UG","Uganda","UG111","Ssembabule",0.190151697116775,-0.02372693,31.33918316
"UG","Uganda","UG112","Kayunga",0.138552609857489,0.97578138,32.89075999
"UG","Uganda","UG113","Wakiso",0.228213148992602,0.22313519,32.44530718
"UG","Uganda","UG114","Lyantonde",0.0703575831655023,-0.22042267,31.18737578
"UG","Uganda","UG115","Mityana",0.129873309217174,0.44508032,32.05752748
"UG","Uganda","UG116","Nakaseke",0.282566268814906,1.05154228,32.16853176
"UG","Uganda","UG117","Buikwe",0.118068571509665,0.30851741,33.03966065
"UG","Uganda","UG118","Bukomansimbi",0.0487347079521219,-0.12698818,31.62754843
"UG","Uganda","UG119","Butambala",0.0329536884737527,0.15643322,32.07399389
"UG","Uganda","UG120","Buvuma",0.781773554435959,-0.38909172,33.20813884
"UG","Uganda","UG121","Gomba",0.135719154917266,0.19841794,31.70192402
"UG","Uganda","UG122","Kalungu",0.0680193580699969,-0.09936614,31.80195051
"UG","Uganda","UG123","Kyankwanzi",0.201003388587107,1.1240217,31.6419275
"UG","Uganda","UG124","Lwengo",0.0832303191985583,-0.41066942,31.42516002
"UG","Uganda","UG125","Kyotara",0.0762700713552662,-0.6527505,31.6355333
"UG","Uganda","UG201","Bugiri",0.0855918502524227,0.53356045,33.77326412
"UG","Uganda","UG202","Busia",0.0620590532695405,0.41453684,34.00465251
"UG","Uganda","UG203","Iganga",0.0826133382924484,0.69272414,33.52531237
"UG","Uganda","UG204","Jinja",0.0588455193294695,0.56830652,33.21194216
"UG","Uganda","UG205","Kamuli",0.126385536015349,0.9430585,33.10315115
"UG","Uganda","UG225","Kapchorwa",0.0290506528289067,1.35146745,34.42315862
"UG","Uganda","UG207","Katakwi",0.197442389403216,1.92499975,34.03740227
"UG","Uganda","UG208","Kumi",0.0873374741469406,1.47642554,33.9606832
"UG","Uganda","UG209","Mbale",0.0421558121523996,1.02198881,34.19758056
"UG","Uganda","UG210","Pallisa",0.062803947657462,1.23396777,33.65937638
"UG","Uganda","UG211","Soroti",0.114766282851913,1.77456272,33.59026362
"UG","Uganda","UG212","Tororo",0.0970333239668883,0.7279512,34.08134028
"UG","Uganda","UG213","Kaberamaido",0.132063960983878,1.76111281,33.22206317
"UG","Uganda","UG214","Mayuge",0.274734769847019,-0.08581316,33.55096753
"UG","Uganda","UG215","Sironko",0.0329659829964134,1.17452346,34.31745551
"UG","Uganda","UG216","Amuria",0.210390914532214,2.10667792,33.68635738
"UG","Uganda","UG217","Budaka",0.0333497903856597,1.06269548,33.98795883
"UG","Uganda","UG218","Bududa",0.0258945377738118,1.03464234,34.40672826
"UG","Uganda","UG219","Bukedea",0.0852982566254351,1.36521286,34.123524
"UG","Uganda","UG220","Bukwo",0.0453363439096384,1.28120653,34.68567736
"UG","Uganda","UG221","Butaleja",0.0532607708302516,0.88581169,33.93247717
