,Data Variable,ADMIN_0_NAMES,ADMIN_0_PCODE,ADMIN_1_NAMES,ADMIN_1_PCODE,ISO3,ISO2,Longitude,Latitude,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
65,AgeSex_female0to19,Democratic Republic of the Congo,CD,Tshopo,COD51,COD,CD,25.2072107221,0.48121836756,,,,,,,,,,0.2806496846807988,,,,,,,,,,
66,AgeSex_female0to19,Democratic Republic of the Congo,CD,Tshuapa,COD45,COD,CD,21.7639136901,-0.6696674601,,,,,,,,,,0.2806496845188646,,,,,,,,,,
67,AgeSex_female0to19,Eritrea,ER,Debubawi Keih Bahri,ER1,ERI,ER,41.721901439,13.6213635265,,,,,,,,,,0.2623340173679239,,,,,,,,,,
68,AgeSex_female0to19,Eritrea,ER,Maekel,ER2,ERI,ER,38.8804486975,15.3528035705,,,,,,,,,,0.263726002894915,,,,,,,,,,
69,AgeSex_female0to19,Eritrea,ER,Semienawi Keih Bahri,ER3,ERI,ER,39.064040554,16.1658828521,,,,,,,,,,0.2635001714986104,,,,,,,,,,
70,AgeSex_female0to19,Eritrea,ER,Anseba,ER4,ERI,ER,37.7782823507,16.4088234509,,,,,,,,,,0.2631216237178215,,,,,,,,,,
71,AgeSex_female0to19,Eritrea,ER,Gash Barka,ER5,ERI,ER,37.4197958348,15.1894485097,,,,,,,,,,0.2634249378091249,,,,,,,,,,
72,AgeSex_female0to19,Eritrea,ER,Debub,ER6,ERI,ER,38.9410173383,14.8243071077,,,,,,,,,,0.2640132769546677,,,,,,,,,,
73,AgeSex_female0to19,Ethiopia,ET,Addis Ababa,ET14,ETH,ET,38.7855383518,8.98048300494,,,,,,,,,,0.2186129465699196,,,,,,,,,,
74,AgeSex_female0to19,Ethiopia,ET,Afar,ET02,ETH,ET,40.7744814643,12.0361002495,,,,,,,,,,0.2456855761825985,,,,,,,,,,
75,AgeSex_female0to19,Ethiopia,ET,Amhara,ET03,ETH,ET,38.0435374859,11.5649527174,,,,,,,,,,0.2714245302306525,,,,,,,,,,
76,AgeSex_female0to19,Ethiopia,ET,Benishangul Gumuz,ET06,ETH,ET,35.4403074109,10.5029240663,,,,,,,,,,0.2797722021070849,,,,,,,,,,
77,AgeSex_female0to19,Ethiopia,ET,Dire Dawa,ET15,ETH,ET,42.0030268929,9.60626920944,,,,,,,,,,0.2438946159986349,,,,,,,,,,
78,AgeSex_female0to19,Ethiopia,ET,Gambela,ET12,ETH,ET,34.3367694932,7.6838248168,,,,,,,,,,0.2523179863701048,,,,,,,,,,
79,AgeSex_female0to19,Ethiopia,ET,Oromia,ET04,ETH,ET,38.7651240235,7.50805540143,,,,,,,,,,0.2932290686450306,,,,,,,,,,
80,AgeSex_female0to19,Ethiopia,ET,SNNP,ET07,ETH,ET,36.8063606014,6.46546929081,,,,,,,,,,0.2861096077581671,,,,,,,,,,
81,AgeSex_female0to19,Ethiopia,ET,Somali,ET05,ETH,ET,43.3299722859,6.9257484817,,,,,,,,,,0.2453518230691471,,,,,,,,,,
82,AgeSex_female0to19,Ethiopia,ET,Tigray,ET01,ETH,ET,38.4386750356,13.7771162088,,,,,,,,,,0.2738337940803379,,,,,,,,,,
83,AgeSex_female0to19,Kenya,KE,Mombasa,KEN01,KEN,KE,39.6506522676,-4.0211844123,,,,,,,,,,0.2189167936642964,,,,,,,,,,
84,AgeSex_female0to19,Kenya,KE,Kwale,KEN02,KEN,KE,39.1526006461,-4.14152690009,,,,,,,,,,0.2909143226487296,,,,,,,,,,
85,AgeSex_female0to19,Kenya,KE,Kilifi,KEN03,KEN,KE,39.6866752645,-3.17533827661,,,,,,,,,,0.2847264883847072,,,,,,,,,,
86,AgeSex_female0to19,Kenya,KE,Tana River,KEN04,KEN,KE,39.4178653105,-1.52636321523,,,,,,,,,,0.3055268380868739,,,,,,,,,,
87,AgeSex_female0to19,Kenya,KE,Lamu,KEN05,KEN,KE,40.7580928486,-2.04751505047,,,,,,,,,,0.2487987621106963,,,,,,,,,,
88,AgeSex_female0to19,Kenya,KE,Taita Taveta,KEN06,KEN,KE,38.4186020002,-3.43473399706,,,,,,,,,,0.1761415594816208,,,,,,,,,,
89,AgeSex_female0to19,Kenya,KE,Garissa,KEN07,KEN,KE,40.1992191088,-0.488821087141,,,,,,,,,,0.2728901111131098,,,,,,,,,,
90,AgeSex_female0to19,Kenya,KE,Wajir,KEN08,KEN,KE,40.0349856404,1.80813762255,,,,,,,,,,0.2822153150900456,,,,,,,,,,
91,AgeSex_female0to19,Kenya,KE,Mandera,KEN09,KEN,KE,40.7388101675,3.43646949051,,,,,,,,,,0.2967933355876715,,,,,,,,,,
92,AgeSex_female0to19,Kenya,KE,Marsabit,KEN10,KEN,KE,37.5695361045,2.97865878698,,,,,,,,,,0.259825375925671,,,,,,,,,,
